,Origin,Destination,Distance,Duration
0,Acheson,Airdrie,275.3798,200.45
1,Acheson,Balzac,283.4423,204.13833333333332
2,Acheson,Calgary,306.36109999999996,221.87833333333336
3,Acheson,Edmonton,19.981,26.073333333333334
4,Acheson,Grande Prairie,440.8077,311.815
5,Acheson,Lethbridge,510.7884,371.1616666666667
6,Acheson,Medicine Hat,567.8613,413.5066666666667
7,Acheson,Okotoks,344.0907,248.35
8,Acheson,Red Deer County,182.27110000000002,142.29833333333332
9,Acheson,Rocky View County,266.2945,195.22
10,Acheson,Sherwood Park,39.640699999999995,40.10333333333333
11,Acheson,St. Albert,19.8965,21.658333333333335
12,Acheson,Abbotsford,1076.5215,801.4
13,Acheson,Burnaby,1129.4422,842.15
14,Acheson,Delta,1135.2026,858.7016666666666
15,Acheson,Errington,1282.2156,1155.0266666666669
16,Acheson,Kamloops,787.108,607.8866666666667
17,Acheson,Kelowna,998.9794,751.5983333333334
18,Acheson,Ladysmith,1219.0779,1098.3633333333335
19,Acheson,Langley,1103.8028,823.385
20,Acheson,Nanaimo,1240.9716,1120.3283333333334
21,Acheson,New Westminster,1125.2517,840.9283333333333
22,Acheson,Port Coquitlam,1122.5589,837.9783333333332
23,Acheson,Richmond,1144.919,863.7883333333334
24,Acheson,Surrey,1116.3233,834.4833333333333
25,Acheson,Vancouver,1140.6489,856.9666666666667
26,Acheson,Winnipeg,1370.3383000000001,985.5300000000001
27,Acheson,Regina,798.7254,571.2933333333333
28,Acheson,Saskatoon,542.2104,390.84666666666664
29,Acheson,Bolton,3543.8062999999997,2461.3083333333334
30,Airdrie,Balzac,10.045200000000001,10.961666666666668
31,Airdrie,Calgary,32.9641,28.701666666666664
32,Airdrie,Edmonton,267.9083,196.01833333333335
33,Airdrie,Grande Prairie,684.7022,502.56333333333333
34,Airdrie,Lethbridge,237.3913,177.985
35,Airdrie,Medicine Hat,312.9819,226.29166666666666
36,Airdrie,Okotoks,70.6936,55.17333333333333
37,Airdrie,Red Deer County,109.0468,87.025
38,Airdrie,Rocky View County,10.3194,13.508333333333333
39,Airdrie,Sherwood Park,275.5583,197.94
40,Airdrie,St. Albert,287.97229999999996,206.245
41,Airdrie,Abbotsford,1046.4874,849.4133333333334
42,Airdrie,Burnaby,1099.4081,890.1633333333334
43,Airdrie,Delta,1105.1685,906.715
44,Airdrie,Errington,1252.1815,1203.04
45,Airdrie,Kamloops,760.1943,657.44
46,Airdrie,Kelowna,728.9768,623.5316666666666
47,Airdrie,Ladysmith,1189.0439,1146.3766666666668
48,Airdrie,Langley,1073.7688,871.3983333333333
49,Airdrie,Nanaimo,1210.9376000000002,1168.3416666666667
50,Airdrie,New Westminster,1095.2176000000002,888.9416666666667
51,Airdrie,Port Coquitlam,1092.5249,885.9916666666667
52,Airdrie,Richmond,1114.8849,911.8016666666666
53,Airdrie,Surrey,1086.2892,882.4966666666667
54,Airdrie,Vancouver,1110.6148999999998,904.98
55,Airdrie,Winnipeg,1345.375,956.3366666666666
56,Airdrie,Regina,775.6768000000001,544.905
57,Airdrie,Saskatoon,584.5917,451.26166666666666
58,Airdrie,Bolton,3477.3833999999997,2407.33
59,Balzac,Calgary,24.121599999999997,22.003333333333334
60,Balzac,Edmonton,275.92690000000005,199.73166666666665
61,Balzac,Grande Prairie,692.7208,506.27666666666664
62,Balzac,Lethbridge,228.5489,171.2866666666667
63,Balzac,Medicine Hat,304.1394,219.59333333333333
64,Balzac,Okotoks,61.8512,48.475
65,Balzac,Red Deer County,117.0654,90.73833333333333
66,Balzac,Rocky View County,20.5551,21.678333333333335
67,Balzac,Sherwood Park,283.5769,201.65333333333334
68,Balzac,St. Albert,295.991,209.95833333333334
69,Balzac,Abbotsford,1037.6449,842.715
70,Balzac,Burnaby,1090.5656000000001,883.465
